player_id,player_name,short_name,player_birthdate,match_id,match_name,match_date,team_id,team_name,competition_id,competition_name,season_id,season_name,competition_edition_id,position,group,result,venue,third,channel,minutes_played_per_match,adjusted_min_tip_per_match,quality_check,count_opportunities_to_pass_to_runs_in_sample,count_opportunities_to_pass_to_runs_per_match,count_pass_attempts_to_runs_per_match,pass_opportunities_to_runs_threat_per_match,runs_to_which_pass_attempted_threat_per_match,pass_completion_ratio_to_runs,count_runs_by_teammate_per_match,runs_to_which_pass_completed_threat_per_match,count_completed_pass_to_runs_per_match,count_completed_pass_to_runs_leading_to_shot_per_match,count_completed_pass_to_runs_leading_to_goal_per_match,count_pass_opportunities_to_dangerous_runs_per_match,count_pass_attempts_to_dangerous_runs_per_match,count_completed_pass_to_dangerous_runs_per_match
946,Antoine Griezmann,A. Griezmann,1991-03-21,952209,France v Netherland,2023-03-24,4,France,34,European Championship Qualifiers,28,2023/2024,576,RM,Midfield,win,home,all,all,78.45,19.73,True,4,4,3,0.09,0.07,66.67,5,0.01,2,0,0,1,1,0
277,Adrien Rabiot,A. Rabiot,1995-04-03,952209,France v Netherland,2023-03-24,4,France,34,European Championship Qualifiers,28,2023/2024,576,LM,Midfield,win,home,all,all,90.72,21.35,True,6,6,2,0.06,0.05,50.0,7,0.0,1,0,0,1,1,0
12218,Aurélien Tchouaméni,A. Tchouaméni,2000-01-27,952209,France v Netherland,2023-03-24,4,France,34,European Championship Qualifiers,28,2023/2024,576,DM,Midfield,win,home,all,all,78.45,19.73,True,10,10,8,0.17,0.1,75.0,14,0.09,6,0,0,3,2,2
2106,Daley Blind,D. Blind,1990-03-09,952209,France v Netherland,2023-03-24,330,Netherland,34,European Championship Qualifiers,28,2023/2024,576,LM,Midfield,lose,away,all,all,29.22,9.78,True,6,6,6,0.04,0.04,66.67,6,0.02,4,0,0,0,0,0
2548,Davy Klaassen,D. Klaassen,1993-02-21,952209,France v Netherland,2023-03-24,330,Netherland,34,European Championship Qualifiers,28,2023/2024,576,AM,Midfield,lose,away,all,all,29.22,9.78,True,3,3,2,0.1,0.1,50.0,7,0.0,1,0,0,1,1,0
12654,Donyell Malen,D. Malen,1999-01-19,952209,France v Netherland,2023-03-24,330,Netherland,34,European Championship Qualifiers,28,2023/2024,576,RW,Winger,lose,away,all,all,29.22,9.78,True,5,5,2,0.1,0.03,100.0,8,0.03,2,0,0,2,1,1
11516,Dayot Upamecano,D. Upamecano,1998-10-27,952209,France v Netherland,2023-03-24,4,France,34,European Championship Qualifiers,28,2023/2024,576,LCB,Central Defender,win,home,all,all,97.63,21.68,True,16,16,4,0.08,0.01,75.0,24,0.01,3,0,0,1,0,0
22103,Eduardo Camavinga,E. Camavinga,2002-11-10,952209,France v Netherland,2023-03-24,4,France,34,European Championship Qualifiers,28,2023/2024,576,DM,Midfield,win,home,all,all,19.18,1.95,True,1,1,0,0.07,0.0,,2,0.0,0,0,0,1,0,0
3837,Georginio Wijnaldum,G. Wijnaldum,1990-11-11,952209,France v Netherland,2023-03-24,330,Netherland,34,European Championship Qualifiers,28,2023/2024,576,AM,Midfield,lose,away,all,all,97.63,33.3,True,14,14,6,0.19,0.08,100.0,18,0.08,6,1,0,4,2,2
16320,Ibrahima Konaté,I. Konaté,1999-05-25,952209,France v Netherland,2023-03-24,4,France,34,European Championship Qualifiers,28,2023/2024,576,RCB,Central Defender,win,home,all,all,97.63,21.68,True,11,11,6,0.06,0.04,83.33,15,0.04,5,0,0,1,1,1
11630,Jules Koundé,J. Koundé,1998-11-12,952209,France v Netherland,2023-03-24,4,France,34,European Championship Qualifiers,28,2023/2024,576,RWB,Full Back,win,home,all,all,97.63,21.68,True,8,8,1,0.02,0.0,100.0,9,0.0,1,0,0,0,0,0
24466,Jurriën Timber Maduro,J. Timber,2001-06-17,952209,France v Netherland,2023-03-24,330,Netherland,34,European Championship Qualifiers,28,2023/2024,576,RWB,Full Back,lose,away,all,all,97.63,33.3,True,16,16,9,0.1,0.06,88.89,19,0.05,8,1,0,0,0,0
5922,Kingsley Coman,K. Coman,1996-06-13,952209,France v Netherland,2023-03-24,4,France,34,European Championship Qualifiers,28,2023/2024,576,RF,Forward,win,home,all,all,68.82,18.25,True,9,9,5,0.27,0.25,60.0,17,0.03,3,1,0,2,2,0
6028,Kylian Mbappé Lottin,K. Mbappé,1998-12-20,952209,France v Netherland,2023-03-24,4,France,34,European Championship Qualifiers,28,2023/2024,576,LF,Forward,win,home,all,all,97.63,21.68,True,20,20,16,0.5,0.39,75.0,34,0.18,12,2,2,8,5,2
33512,Kenneth Taylor,K. Taylor,2002-05-16,952209,France v Netherland,2023-03-24,330,Netherland,34,European Championship Qualifiers,28,2023/2024,576,LM,Midfield,lose,away,all,all,32.63,13.36,True,7,7,2,0.09,0.06,50.0,9,0.0,1,0,0,2,1,0
20191,Khéphren Thuram-Ulien,K. Thuram,2001-03-26,952209,France v Netherland,2023-03-24,4,France,34,European Championship Qualifiers,28,2023/2024,576,LM,Midfield,win,home,all,all,6.92,0.33,True,0,0,0,0.0,0.0,,0,0.0,0,0,0,0,0,0
14407,Lutsharel Geertruida,L. Geertruida,2000-07-18,952209,France v Netherland,2023-03-24,330,Netherland,34,European Championship Qualifiers,28,2023/2024,576,RCB,Central Defender,lose,away,all,all,89.03,30.85,True,17,17,8,0.07,0.03,100.0,23,0.03,8,0,0,0,0,0
7387,Memphis Depay,M. Depay,1994-02-13,952209,France v Netherland,2023-03-24,330,Netherland,34,European Championship Qualifiers,28,2023/2024,576,CF,Forward,lose,away,all,all,97.63,33.3,True,14,14,9,0.27,0.22,88.89,23,0.2,8,1,0,4,4,3
12246,Moussa Diaby,M. Diaby,1999-07-07,952209,France v Netherland,2023-03-24,4,France,34,European Championship Qualifiers,28,2023/2024,576,RF,Forward,win,home,all,all,28.82,3.43,True,2,2,1,0.01,0.0,0.0,2,0.0,0,0,0,0,0,0
7017,Marten de Roon,M. de Roon,1991-03-29,952209,France v Netherland,2023-03-24,330,Netherland,34,European Championship Qualifiers,28,2023/2024,576,RM,Midfield,lose,away,all,all,68.42,23.52,True,9,9,4,0.08,0.03,75.0,13,0.01,3,0,0,1,1,0
7863,Nathan Aké,N. Aké,1995-02-18,952209,France v Netherland,2023-03-24,330,Netherland,34,European Championship Qualifiers,28,2023/2024,576,LWB,Full Back,lose,away,all,all,97.63,33.3,True,26,26,15,0.23,0.16,80.0,34,0.13,12,0,0,3,2,2
8206,Olivier Giroud,O. Giroud,1986-09-30,952209,France v Netherland,2023-03-24,4,France,34,European Championship Qualifiers,28,2023/2024,576,CF,Forward,win,home,all,all,19.18,1.95,True,1,1,1,0.01,0.01,100.0,1,0.01,1,0,0,0,0,0
12190,Randal Kolo Muani,R. Kolo Muani,1998-12-05,952209,France v Netherland,2023-03-24,4,France,34,European Championship Qualifiers,28,2023/2024,576,CF,Forward,win,home,all,all,78.45,19.73,True,7,7,5,0.36,0.34,60.0,11,0.16,3,1,1,4,4,2
10082,Steven Berghuis,S. Berghuis,1991-12-19,952209,France v Netherland,2023-03-24,330,Netherland,34,European Championship Qualifiers,28,2023/2024,576,RW,Winger,lose,away,all,all,68.42,23.52,True,9,9,5,0.16,0.06,80.0,16,0.04,4,1,0,3,1,1
11606,Theo Hernández,T. Hernández,1997-10-06,952209,France v Netherland,2023-03-24,4,France,34,European Championship Qualifiers,28,2023/2024,576,LWB,Full Back,win,home,all,all,97.63,21.68,True,15,15,5,0.08,0.02,100.0,16,0.02,5,0,0,1,0,0
14397,Tyrell Malacia,T. Malacia,1999-08-17,952209,France v Netherland,2023-03-24,330,Netherland,34,European Championship Qualifiers,28,2023/2024,576,RWB,Full Back,lose,away,all,all,8.6,2.45,True,3,3,2,0.03,0.03,50.0,6,0.0,1,0,0,1,1,0
10738,Virgil van Dijk,V. van Dijk,1991-07-08,952209,France v Netherland,2023-03-24,330,Netherland,34,European Championship Qualifiers,28,2023/2024,576,LCB,Central Defender,lose,away,all,all,97.63,33.3,True,23,23,11,0.16,0.03,100.0,28,0.03,11,0,0,2,0,0
10916,Wout Weghorst,W. Weghorst,1992-08-07,952209,France v Netherland,2023-03-24,330,Netherland,34,European Championship Qualifiers,28,2023/2024,576,CF,Forward,lose,away,all,all,65.0,19.94,True,5,5,3,0.51,0.5,0.0,7,0.0,0,0,0,3,3,0
31930,Xavi Quentin Shay Simons,X. Simons,2003-04-21,952209,France v Netherland,2023-03-24,330,Netherland,34,European Championship Qualifiers,28,2023/2024,576,LW,Winger,lose,away,all,all,68.42,23.52,True,13,13,8,0.47000000000000003,0.4,75.0,19,0.25,6,2,0,4,3,2
12229,Youssouf Fofana,Y. Fofana,1999-01-10,952209,France v Netherland,2023-03-24,4,France,34,European Championship Qualifiers,28,2023/2024,576,RM,Midfield,win,home,all,all,19.18,1.95,True,0,0,0,0.0,0.0,,0,0.0,0,0,0,0,0,0
