match_id,player_id,quality_check,Distance 1,Distance,Distance 2,Sprinting Distance 1,Sprinting Distance,Sprinting Distance 2,HSR Distance 1,HSR Distance,HSR Distance 2,Running Distance 1,Running Distance,Running Distance 2,Count HSR 1,Count HSR,Count HSR 2,Count Sprint 1,Count Sprint,Count Sprint 2,Count Medium Acceleration 1,Count Medium Acceleration,Count Medium Acceleration 2,Count Medium Deceleration 1,Count Medium Deceleration,Count Medium Deceleration 2,Count High Acceleration 1,Count High Acceleration,Count High Acceleration 2,Count High Deceleration 1,Count High Deceleration,Count High Deceleration 2,Distance TIP 1,Distance TIP,Distance TIP 2,Sprinting Distance TIP 1,Sprinting Distance TIP,Sprinting Distance TIP 2,HSR Distance TIP 1,HSR Distance TIP,HSR Distance TIP 2,Running Distance TIP 1,Running Distance TIP,Running Distance TIP 2,Count HSR TIP 1,Count HSR TIP,Count HSR TIP 2,Count Sprint TIP 1,Count Sprint TIP,Count Sprint TIP 2,Count Medium Acceleration TIP 1,Count Medium Acceleration TIP,Count Medium Acceleration TIP 2,Count Medium Deceleration TIP 1,Count Medium Deceleration TIP,Count Medium Deceleration TIP 2,Count High Acceleration TIP 1,Count High Acceleration TIP,Count High Acceleration TIP 2,Count High Deceleration TIP 1,Count High Deceleration TIP,Count High Deceleration TIP 2,Distance OTIP 1,Distance OTIP,Distance OTIP 2,Sprinting Distance OTIP 1,Sprinting Distance OTIP,Sprinting Distance OTIP 2,HSR Distance OTIP 1,HSR Distance OTIP,HSR Distance OTIP 2,Running Distance OTIP 1,Running Distance OTIP,Running Distance OTIP 2,Count HSR OTIP 1,Count HSR OTIP,Count HSR OTIP 2,Count Sprint OTIP 1,Count Sprint OTIP,Count Sprint OTIP 2,Count Medium Acceleration OTIP 1,Count Medium Acceleration OTIP,Count Medium Acceleration OTIP 2,Count Medium Deceleration OTIP 1,Count Medium Deceleration OTIP,Count Medium Deceleration OTIP 2,Count High Acceleration OTIP 1,Count High Acceleration OTIP,Count High Acceleration OTIP 2,Count High Deceleration OTIP 1,Count High Deceleration OTIP,Count High Deceleration OTIP 2,PSV-99,Minutes TIP 1,Minutes TIP,Minutes TIP 2,Minutes OTIP 1,Minutes OTIP,Minutes OTIP 2,Minutes 1,Minutes,Minutes 2,count_match,count_match_failed,player_name,short_name,player_birthdate,match_name,date
952209,277,True,5895.0,10955,5060.0,61.0,162,101.0,261.0,592,331.0,722.0,1385,663.0,13.0,37,24.0,5.0,11,6.0,41.0,78,37.0,36.0,71,35.0,4.0,7,3.0,8.0,13,5.0,2045.0,3406.0,1361.0,28.0,95.0,67.0,114.0,252.0,138.0,332.0,558.0,226.0,5.0,13.0,8.0,3.0,8.0,5.0,8.0,14.0,6.0,7.0,14.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,2492.0,4885.0,2393.0,0.0,33.0,33.0,122.0,282.0,160.0,364.0,756.0,392.0,7.0,21.0,14.0,1.0,2.0,1.0,22.0,38.0,16.0,15.0,29.0,14.0,1.0,3.0,2.0,4.0,6.0,2.0,28.6,15.77,25.67,9.9,18.75,36.73,17.98,47.05,90.72,43.67,1,0,Adrien Rabiot,A. Rabiot,1995-04-03,France v Netherland,2023-03-24
952209,946,True,5598.0,8806,3208.0,32.0,35,3.0,175.0,298,123.0,891.0,1301,410.0,10.0,19,9.0,3.0,4,1.0,34.0,66,32.0,33.0,60,27.0,2.0,2,0.0,4.0,9,5.0,1940.0,2877.0,937.0,7.0,7.0,0.0,72.0,121.0,49.0,430.0,589.0,159.0,3.0,4.0,1.0,1.0,1.0,0.0,7.0,11.0,4.0,5.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2418.0,3934.0,1516.0,0.0,3.0,3.0,100.0,171.0,71.0,458.0,703.0,245.0,6.0,14.0,8.0,1.0,2.0,1.0,17.0,31.0,14.0,14.0,25.0,11.0,0.0,0.0,0.0,2.0,4.0,2.0,25.9,15.77,23.54,7.77,18.75,32.08,13.33,47.05,78.45,31.4,1,0,Antoine Griezmann,A. Griezmann,1991-03-21,France v Netherland,2023-03-24
952209,2106,True,,3515,3515.0,,52,52.0,,157,157.0,,546,546.0,,12,12.0,,5,5.0,,37,37.0,,30,30.0,,2,2.0,,5,5.0,,1592.0,1592.0,,0.0,0.0,,39.0,39.0,,381.0,381.0,,4.0,4.0,,0.0,0.0,,14.0,14.0,,13.0,13.0,,0.0,0.0,,0.0,0.0,,600.0,600.0,,52.0,52.0,,76.0,76.0,,121.0,121.0,,7.0,7.0,,3.0,3.0,,7.0,7.0,,4.0,4.0,,0.0,0.0,,1.0,1.0,27.1,0.0,11.27,11.27,0.0,4.58,4.58,0.0,29.22,29.22,1,0,Daley Blind,D. Blind,1990-03-09,France v Netherland,2023-03-24
952209,2548,True,,3452,3452.0,,0,0.0,,154,154.0,,596,596.0,,17,17.0,,0,0.0,,34,34.0,,32,32.0,,2,2.0,,8,8.0,,1448.0,1448.0,,0.0,0.0,,56.0,56.0,,293.0,293.0,,6.0,6.0,,0.0,0.0,,14.0,14.0,,14.0,14.0,,1.0,1.0,,3.0,3.0,,704.0,704.0,,0.0,0.0,,69.0,69.0,,210.0,210.0,,8.0,8.0,,0.0,0.0,,9.0,9.0,,5.0,5.0,,0.0,0.0,,0.0,0.0,23.2,0.0,11.27,11.27,0.0,4.58,4.58,0.0,29.22,29.22,1,0,Davy Klaassen,D. Klaassen,1993-02-21,France v Netherland,2023-03-24
952209,3837,True,5339.0,10508,5169.0,37.0,122,85.0,268.0,499,231.0,687.0,1280,593.0,17.0,35,18.0,3.0,6,3.0,40.0,77,37.0,48.0,91,43.0,4.0,6,2.0,4.0,11,7.0,2062.0,4285.0,2223.0,15.0,37.0,22.0,92.0,223.0,131.0,259.0,591.0,332.0,3.0,14.0,11.0,2.0,3.0,1.0,8.0,20.0,12.0,8.0,26.0,18.0,0.0,1.0,1.0,1.0,3.0,2.0,2017.0,3299.0,1282.0,0.0,62.0,62.0,159.0,217.0,58.0,428.0,652.0,224.0,11.0,17.0,6.0,0.0,1.0,1.0,23.0,37.0,14.0,16.0,25.0,9.0,1.0,2.0,1.0,0.0,2.0,2.0,30.0,18.75,38.95,20.2,15.77,26.75,10.98,47.05,97.63,50.58,1,0,Georginio Wijnaldum,G. Wijnaldum,1990-11-11,France v Netherland,2023-03-24
952209,5922,True,5402.0,7704,2302.0,100.0,173,73.0,289.0,356,67.0,714.0,1008,294.0,22.0,29,7.0,7.0,10,3.0,40.0,68,28.0,38.0,58,20.0,5.0,8,3.0,14.0,21,7.0,2000.0,2795.0,795.0,40.0,93.0,53.0,165.0,201.0,36.0,378.0,540.0,162.0,14.0,17.0,3.0,4.0,6.0,2.0,15.0,21.0,6.0,7.0,11.0,4.0,2.0,2.0,0.0,3.0,3.0,0.0,2166.0,3132.0,966.0,16.0,35.0,19.0,94.0,124.0,30.0,315.0,436.0,121.0,5.0,8.0,3.0,1.0,2.0,1.0,13.0,22.0,9.0,13.0,19.0,6.0,0.0,0.0,0.0,4.0,6.0,2.0,33.7,15.77,22.17,6.4,18.75,27.67,8.92,47.05,68.82,21.77,1,0,Kingsley Coman,K. Coman,1996-06-13,France v Netherland,2023-03-24
952209,6028,True,4490.0,8698,4208.0,94.0,217,123.0,258.0,467,209.0,545.0,962,417.0,13.0,29,16.0,5.0,11,6.0,37.0,78,41.0,39.0,76,37.0,9.0,14,5.0,5.0,13,8.0,1699.0,2935.0,1236.0,68.0,154.0,86.0,126.0,228.0,102.0,282.0,525.0,243.0,6.0,13.0,7.0,3.0,7.0,4.0,13.0,26.0,13.0,7.0,15.0,8.0,1.0,3.0,2.0,0.0,0.0,0.0,1746.0,3420.0,1674.0,0.0,36.0,36.0,110.0,184.0,74.0,254.0,385.0,131.0,6.0,12.0,6.0,0.0,2.0,2.0,15.0,26.0,11.0,14.0,28.0,14.0,1.0,2.0,1.0,2.0,3.0,1.0,32.8,15.77,26.75,10.98,18.75,38.95,20.2,47.05,97.63,50.58,1,0,Kylian Mbappé Lottin,K. Mbappé,1998-12-20,France v Netherland,2023-03-24
952209,7017,True,6214.0,8876,2662.0,46.0,77,31.0,262.0,386,124.0,927.0,1300,373.0,20.0,27,7.0,4.0,6,2.0,39.0,67,28.0,48.0,73,25.0,2.0,4,2.0,6.0,8,2.0,2453.0,3704.0,1251.0,0.0,0.0,0.0,38.0,61.0,23.0,298.0,476.0,178.0,3.0,5.0,2.0,0.0,0.0,0.0,9.0,16.0,7.0,9.0,17.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,2306.0,3180.0,874.0,16.0,47.0,31.0,214.0,312.0,98.0,602.0,790.0,188.0,16.0,21.0,5.0,2.0,4.0,2.0,21.0,29.0,8.0,15.0,21.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,28.7,18.75,27.67,8.92,15.77,22.17,6.4,47.05,68.42,21.37,1,0,Marten de Roon,M. de Roon,1991-03-29,France v Netherland,2023-03-24
952209,7387,True,5498.0,10443,4945.0,41.0,116,75.0,209.0,362,153.0,726.0,1170,444.0,17.0,33,16.0,3.0,8,5.0,46.0,88,42.0,45.0,82,37.0,4.0,6,2.0,11.0,24,13.0,2298.0,4501.0,2203.0,23.0,60.0,37.0,112.0,214.0,102.0,393.0,708.0,315.0,8.0,19.0,11.0,0.0,2.0,2.0,15.0,36.0,21.0,9.0,25.0,16.0,0.0,2.0,2.0,3.0,6.0,3.0,1855.0,2994.0,1139.0,0.0,37.0,37.0,88.0,125.0,37.0,324.0,452.0,128.0,8.0,11.0,3.0,1.0,3.0,2.0,21.0,31.0,10.0,15.0,23.0,8.0,0.0,0.0,0.0,3.0,6.0,3.0,27.9,18.75,38.95,20.2,15.77,26.75,10.98,47.05,97.63,50.58,1,0,Memphis Depay,M. Depay,1994-02-13,France v Netherland,2023-03-24
952209,7863,True,5152.0,10374,5222.0,66.0,152,86.0,178.0,445,267.0,566.0,1087,521.0,17.0,38,21.0,3.0,7,4.0,44.0,85,41.0,41.0,74,33.0,3.0,6,3.0,10.0,17,7.0,2008.0,4160.0,2152.0,38.0,42.0,4.0,59.0,137.0,78.0,208.0,414.0,206.0,6.0,15.0,9.0,2.0,3.0,1.0,12.0,25.0,13.0,11.0,25.0,14.0,0.0,1.0,1.0,3.0,5.0,2.0,1923.0,3264.0,1341.0,0.0,64.0,64.0,118.0,268.0,150.0,358.0,615.0,257.0,11.0,22.0,11.0,1.0,3.0,2.0,21.0,36.0,15.0,14.0,23.0,9.0,1.0,2.0,1.0,3.0,5.0,2.0,28.3,18.75,38.95,20.2,15.77,26.75,10.98,47.05,97.63,50.58,1,0,Nathan Aké,N. Aké,1995-02-18,France v Netherland,2023-03-24
952209,8206,True,,2210,2210.0,,69,69.0,,152,152.0,,334,334.0,,10,10.0,,5,5.0,,30,30.0,,23,23.0,,2,2.0,,6,6.0,,499.0,499.0,,34.0,34.0,,52.0,52.0,,97.0,97.0,,5.0,5.0,,2.0,2.0,,1.0,1.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,856.0,856.0,,34.0,34.0,,65.0,65.0,,174.0,174.0,,5.0,5.0,,3.0,3.0,,12.0,12.0,,8.0,8.0,,1.0,1.0,,2.0,2.0,29.0,0.0,3.22,3.22,0.0,6.85,6.85,0.0,19.18,19.18,1,0,Olivier Giroud,O. Giroud,1986-09-30,France v Netherland,2023-03-24
952209,10082,True,5551.0,8027,2476.0,67.0,109,42.0,325.0,459,134.0,785.0,1179,394.0,26.0,39,13.0,5.0,8,3.0,44.0,70,26.0,49.0,73,24.0,5.0,10,5.0,11.0,15,4.0,2124.0,3308.0,1184.0,19.0,48.0,29.0,124.0,198.0,74.0,300.0,526.0,226.0,10.0,14.0,4.0,1.0,2.0,1.0,20.0,29.0,9.0,9.0,16.0,7.0,2.0,3.0,1.0,2.0,3.0,1.0,2109.0,2911.0,802.0,12.0,24.0,12.0,178.0,237.0,59.0,484.0,641.0,157.0,13.0,21.0,8.0,2.0,4.0,2.0,19.0,29.0,10.0,17.0,23.0,6.0,0.0,1.0,1.0,4.0,4.0,0.0,29.0,18.75,27.67,8.92,15.77,22.17,6.4,47.05,68.42,21.37,1,0,Steven Berghuis,S. Berghuis,1991-12-19,France v Netherland,2023-03-24
952209,10738,True,4711.0,9767,5056.0,63.0,148,85.0,124.0,368,244.0,539.0,1097,558.0,7.0,22,15.0,4.0,7,3.0,40.0,78,38.0,33.0,65,32.0,6.0,9,3.0,6.0,18,12.0,1825.0,3891.0,2066.0,7.0,14.0,7.0,34.0,103.0,69.0,196.0,467.0,271.0,1.0,4.0,3.0,1.0,2.0,1.0,13.0,28.0,15.0,11.0,27.0,16.0,0.0,0.0,0.0,2.0,4.0,2.0,1828.0,3124.0,1296.0,22.0,100.0,78.0,84.0,209.0,125.0,333.0,555.0,222.0,5.0,16.0,11.0,1.0,3.0,2.0,23.0,40.0,17.0,12.0,20.0,8.0,1.0,2.0,1.0,2.0,5.0,3.0,28.6,18.75,38.95,20.2,15.77,26.75,10.98,47.05,97.63,50.58,1,0,Virgil van Dijk,V. van Dijk,1991-07-08,France v Netherland,2023-03-24
952209,10916,True,1850.0,8168,6318.0,38.0,145,107.0,105.0,608,503.0,321.0,1427,1106.0,7.0,41,34.0,3.0,10,7.0,21.0,62,41.0,19.0,63,44.0,4.0,9,5.0,3.0,10,7.0,538.0,3134.0,2596.0,12.0,30.0,18.0,25.0,165.0,140.0,103.0,593.0,490.0,0.0,11.0,11.0,0.0,2.0,2.0,1.0,17.0,16.0,0.0,17.0,17.0,0.0,1.0,1.0,0.0,1.0,1.0,707.0,2403.0,1696.0,23.0,108.0,85.0,67.0,345.0,278.0,206.0,705.0,499.0,6.0,24.0,18.0,1.0,5.0,4.0,7.0,18.0,11.0,6.0,15.0,9.0,0.0,1.0,1.0,1.0,3.0,2.0,29.0,4.27,24.47,20.2,5.07,16.05,10.98,14.42,65.0,50.58,1,0,Wout Weghorst,W. Weghorst,1992-08-07,France v Netherland,2023-03-24
952209,11516,True,5685.0,11057,5372.0,48.0,120,72.0,222.0,334,112.0,788.0,1366,578.0,14.0,24,10.0,4.0,7,3.0,41.0,79,38.0,35.0,68,33.0,4.0,6,2.0,4.0,8,4.0,1975.0,3349.0,1374.0,6.0,39.0,33.0,60.0,78.0,18.0,318.0,493.0,175.0,4.0,4.0,0.0,0.0,1.0,1.0,10.0,15.0,5.0,11.0,17.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,2404.0,4871.0,2467.0,17.0,56.0,39.0,122.0,193.0,71.0,376.0,669.0,293.0,7.0,14.0,7.0,2.0,4.0,2.0,26.0,47.0,21.0,13.0,29.0,16.0,1.0,2.0,1.0,2.0,3.0,1.0,29.6,15.77,26.75,10.98,18.75,38.95,20.2,47.05,97.63,50.58,1,0,Dayot Upamecano,D. Upamecano,1998-10-27,France v Netherland,2023-03-24
952209,11606,True,5360.0,10352,4992.0,136.0,224,88.0,221.0,396,175.0,662.0,1121,459.0,17.0,32,15.0,6.0,10,4.0,45.0,86,41.0,34.0,73,39.0,5.0,10,5.0,10.0,16,6.0,1762.0,2951.0,1189.0,105.0,176.0,71.0,115.0,174.0,59.0,225.0,366.0,141.0,7.0,12.0,5.0,5.0,8.0,3.0,8.0,17.0,9.0,7.0,15.0,8.0,0.0,0.0,0.0,3.0,4.0,1.0,2362.0,4771.0,2409.0,0.0,16.0,16.0,84.0,182.0,98.0,393.0,686.0,293.0,10.0,20.0,10.0,1.0,2.0,1.0,27.0,49.0,22.0,14.0,33.0,19.0,2.0,5.0,3.0,3.0,3.0,0.0,33.1,15.77,26.75,10.98,18.75,38.95,20.2,47.05,97.63,50.58,1,0,Theo Hernández,T. Hernández,1997-10-06,France v Netherland,2023-03-24
952209,11630,True,5163.0,10326,5163.0,36.0,95,59.0,222.0,416,194.0,723.0,1310,587.0,24.0,41,17.0,2.0,7,5.0,55.0,108,53.0,55.0,99,44.0,6.0,9,3.0,16.0,22,6.0,1689.0,2941.0,1252.0,0.0,14.0,14.0,85.0,128.0,43.0,295.0,469.0,174.0,11.0,13.0,2.0,0.0,1.0,1.0,10.0,17.0,7.0,11.0,19.0,8.0,0.0,0.0,0.0,3.0,3.0,0.0,2332.0,4754.0,2422.0,6.0,50.0,44.0,134.0,270.0,136.0,405.0,753.0,348.0,13.0,27.0,14.0,1.0,4.0,3.0,32.0,61.0,29.0,19.0,40.0,21.0,1.0,3.0,2.0,6.0,9.0,3.0,27.5,15.77,26.75,10.98,18.75,38.95,20.2,47.05,97.63,50.58,1,0,Jules Koundé,J. Koundé,1998-11-12,France v Netherland,2023-03-24
952209,12190,True,6105.0,9801,3696.0,140.0,269,129.0,371.0,559,188.0,863.0,1363,500.0,22.0,37,15.0,11.0,17,6.0,41.0,75,34.0,40.0,72,32.0,9.0,12,3.0,9.0,17,8.0,2039.0,3137.0,1098.0,66.0,161.0,95.0,210.0,301.0,91.0,314.0,472.0,158.0,12.0,18.0,6.0,8.0,11.0,3.0,14.0,21.0,7.0,6.0,11.0,5.0,1.0,1.0,0.0,1.0,2.0,1.0,2656.0,4428.0,1772.0,25.0,58.0,33.0,112.0,197.0,85.0,516.0,848.0,332.0,8.0,16.0,8.0,1.0,2.0,1.0,18.0,33.0,15.0,16.0,28.0,12.0,1.0,2.0,1.0,4.0,5.0,1.0,32.6,15.77,23.54,7.77,18.75,32.08,13.33,47.05,78.45,31.4,1,0,Randal Kolo Muani,R. Kolo Muani,1998-12-05,France v Netherland,2023-03-24
952209,12218,True,6171.0,9928,3757.0,13.0,26,13.0,303.0,380,77.0,1030.0,1583,553.0,23.0,31,8.0,1.0,2,1.0,46.0,81,35.0,45.0,74,29.0,4.0,6,2.0,13.0,18,5.0,2143.0,3245.0,1102.0,3.0,7.0,4.0,163.0,184.0,21.0,463.0,669.0,206.0,13.0,13.0,0.0,1.0,1.0,0.0,11.0,15.0,4.0,12.0,16.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,2654.0,4448.0,1794.0,0.0,8.0,8.0,118.0,173.0,55.0,545.0,857.0,312.0,9.0,16.0,7.0,0.0,1.0,1.0,25.0,42.0,17.0,15.0,27.0,12.0,0.0,0.0,0.0,4.0,6.0,2.0,24.3,15.77,23.54,7.77,18.75,32.08,13.33,47.05,78.45,31.4,1,0,Aurélien Tchouaméni,A. Tchouaméni,2000-01-27,France v Netherland,2023-03-24
952209,12229,True,,2162,2162.0,,0,0.0,,65,65.0,,310,310.0,,5,5.0,,0,0.0,,34,34.0,,21,21.0,,2,2.0,,3,3.0,,452.0,452.0,,0.0,0.0,,19.0,19.0,,123.0,123.0,,0.0,0.0,,0.0,0.0,,5.0,5.0,,4.0,4.0,,0.0,0.0,,0.0,0.0,,893.0,893.0,,0.0,0.0,,43.0,43.0,,155.0,155.0,,4.0,4.0,,0.0,0.0,,14.0,14.0,,6.0,6.0,,0.0,0.0,,2.0,2.0,23.9,0.0,3.22,3.22,0.0,6.85,6.85,0.0,19.18,19.18,1,0,Youssouf Fofana,Y. Fofana,1999-01-10,France v Netherland,2023-03-24
952209,12246,True,,3336,3336.0,,87,87.0,,164,164.0,,476,476.0,,13,13.0,,5,5.0,,38,38.0,,29,29.0,,2,2.0,,6,6.0,,695.0,695.0,,48.0,48.0,,64.0,64.0,,177.0,177.0,,6.0,6.0,,2.0,2.0,,7.0,7.0,,4.0,4.0,,0.0,0.0,,0.0,0.0,,1403.0,1403.0,,38.0,38.0,,75.0,75.0,,238.0,238.0,,5.0,5.0,,2.0,2.0,,13.0,13.0,,11.0,11.0,,1.0,1.0,,3.0,3.0,31.8,0.0,4.58,4.58,0.0,11.27,11.27,0.0,28.82,28.82,1,0,Moussa Diaby,M. Diaby,1999-07-07,France v Netherland,2023-03-24
952209,12654,True,,2835,2835.0,,16,16.0,,132,132.0,,292,292.0,,14,14.0,,4,4.0,,35,35.0,,25,25.0,,4,4.0,,5,5.0,,1258.0,1258.0,,12.0,12.0,,81.0,81.0,,197.0,197.0,,7.0,7.0,,2.0,2.0,,17.0,17.0,,10.0,10.0,,1.0,1.0,,1.0,1.0,,434.0,434.0,,3.0,3.0,,39.0,39.0,,84.0,84.0,,5.0,5.0,,1.0,1.0,,5.0,5.0,,5.0,5.0,,1.0,1.0,,1.0,1.0,29.0,0.0,11.27,11.27,0.0,4.58,4.58,0.0,29.22,29.22,1,0,Donyell Malen,D. Malen,1999-01-19,France v Netherland,2023-03-24
952209,14397,True,,910,910.0,,15,15.0,,65,65.0,,169,169.0,,4,4.0,,2,2.0,,18,18.0,,12,12.0,,0,0.0,,0,0.0,,286.0,286.0,,18.0,18.0,,0.0,0.0,,42.0,42.0,,1.0,1.0,,1.0,1.0,,5.0,5.0,,5.0,5.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1,0.0,2.35,2.35,0.0,1.23,1.23,0.0,8.6,8.6,1,0,Tyrell Malacia,T. Malacia,1999-08-17,France v Netherland,2023-03-24
952209,14407,True,5230.0,9380,4150.0,77.0,143,66.0,212.0,389,177.0,649.0,1200,551.0,12.0,32,20.0,6.0,10,4.0,39.0,73,34.0,32.0,56,24.0,5.0,8,3.0,8.0,17,9.0,2012.0,3850.0,1838.0,8.0,20.0,12.0,46.0,113.0,67.0,222.0,466.0,244.0,3.0,10.0,7.0,1.0,2.0,1.0,11.0,26.0,15.0,9.0,22.0,13.0,0.0,0.0,0.0,2.0,4.0,2.0,1958.0,3135.0,1177.0,24.0,78.0,54.0,139.0,229.0,90.0,378.0,631.0,253.0,8.0,19.0,11.0,3.0,5.0,2.0,24.0,40.0,16.0,12.0,19.0,7.0,1.0,2.0,1.0,3.0,5.0,2.0,27.7,18.75,36.58,17.83,15.77,25.52,9.75,47.05,89.03,41.98,1,0,Lutsharel Geertruida,L. Geertruida,2000-07-18,France v Netherland,2023-03-24
952209,16320,True,4912.0,9808,4896.0,43.0,85,42.0,113.0,248,135.0,591.0,1125,534.0,8.0,20,12.0,3.0,7,4.0,33.0,68,35.0,30.0,59,29.0,5.0,9,4.0,6.0,13,7.0,1611.0,2824.0,1213.0,13.0,26.0,13.0,31.0,45.0,14.0,184.0,325.0,141.0,2.0,3.0,1.0,0.0,1.0,1.0,7.0,12.0,5.0,8.0,14.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,2217.0,4550.0,2333.0,3.0,32.0,29.0,74.0,167.0,93.0,343.0,620.0,277.0,5.0,11.0,6.0,1.0,3.0,2.0,21.0,41.0,20.0,14.0,30.0,16.0,1.0,2.0,1.0,2.0,4.0,2.0,29.1,15.77,26.75,10.98,18.75,38.95,20.2,47.05,97.63,50.58,1,0,Ibrahima Konaté,I. Konaté,1999-05-25,France v Netherland,2023-03-24
952209,20191,True,,890,890.0,,0,0.0,,65,65.0,,158,158.0,,1,1.0,,1,1.0,,21,21.0,,13,13.0,,3,3.0,,2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.0,267.0,,0.0,0.0,,44.0,44.0,,66.0,66.0,,2.0,2.0,,0.0,0.0,,7.0,7.0,,4.0,4.0,,1.0,1.0,,1.0,1.0,26.9,0.0,1.08,1.08,0.0,2.2,2.2,0.0,6.92,6.92,1,0,Khéphren Thuram-Ulien,K. Thuram,2001-03-26,France v Netherland,2023-03-24
952209,22103,True,,2269,2269.0,,0,0.0,,36,36.0,,432,432.0,,3,3.0,,0,0.0,,30,30.0,,22,22.0,,2,2.0,,2,2.0,,527.0,527.0,,0.0,0.0,,6.0,6.0,,147.0,147.0,,0.0,0.0,,0.0,0.0,,2.0,2.0,,3.0,3.0,,0.0,0.0,,0.0,0.0,,945.0,945.0,,0.0,0.0,,23.0,23.0,,230.0,230.0,,2.0,2.0,,0.0,0.0,,11.0,11.0,,8.0,8.0,,1.0,1.0,,1.0,1.0,23.0,0.0,3.22,3.22,0.0,6.85,6.85,0.0,19.18,19.18,1,0,Eduardo Camavinga,E. Camavinga,2002-11-10,France v Netherland,2023-03-24
952209,24466,True,5018.0,9785,4767.0,45.0,93,48.0,240.0,382,142.0,577.0,1049,472.0,20.0,34,14.0,4.0,7,3.0,45.0,88,43.0,41.0,82,41.0,3.0,6,3.0,6.0,12,6.0,2002.0,4002.0,2000.0,0.0,21.0,21.0,68.0,109.0,41.0,263.0,479.0,216.0,7.0,11.0,4.0,1.0,1.0,0.0,14.0,29.0,15.0,13.0,29.0,16.0,0.0,0.0,0.0,2.0,2.0,0.0,1837.0,3069.0,1232.0,19.0,45.0,26.0,165.0,252.0,87.0,299.0,511.0,212.0,12.0,21.0,9.0,1.0,2.0,1.0,22.0,39.0,17.0,12.0,21.0,9.0,0.0,0.0,0.0,3.0,5.0,2.0,28.6,18.75,38.95,20.2,15.77,26.75,10.98,47.05,97.63,50.58,1,0,Jurriën Timber Maduro,J. Timber,2001-06-17,France v Netherland,2023-03-24
952209,31930,True,5779.0,8293,2514.0,51.0,105,54.0,217.0,304,87.0,839.0,1226,387.0,18.0,29,11.0,3.0,5,2.0,42.0,71,29.0,52.0,77,25.0,6.0,8,2.0,11.0,17,6.0,2325.0,3391.0,1066.0,24.0,50.0,26.0,122.0,177.0,55.0,397.0,561.0,164.0,10.0,16.0,6.0,3.0,3.0,0.0,18.0,30.0,12.0,13.0,18.0,5.0,2.0,2.0,0.0,4.0,5.0,1.0,2110.0,3032.0,922.0,0.0,28.0,28.0,74.0,105.0,31.0,420.0,639.0,219.0,7.0,11.0,4.0,0.0,1.0,1.0,19.0,28.0,9.0,13.0,21.0,8.0,1.0,1.0,0.0,3.0,5.0,2.0,28.0,18.75,27.67,8.92,15.77,22.17,6.4,47.05,68.42,21.37,1,0,Xavi Quentin Shay Simons,X. Simons,2003-04-21,France v Netherland,2023-03-24
952209,33512,True,4464.0,4464,,27.0,27,,115.0,115,,640.0,640,,7.0,7,,2.0,2,,30.0,30,,33.0,33,,3.0,3,,3.0,3,,2190.0,2190.0,,6.0,6.0,,64.0,64.0,,380.0,380.0,,3.0,3.0,,1.0,1.0,,7.0,7.0,,8.0,8.0,,0.0,0.0,,2.0,2.0,,1379.0,1379.0,,0.0,0.0,,50.0,50.0,,259.0,259.0,,4.0,4.0,,1.0,1.0,,11.0,11.0,,8.0,8.0,,0.0,0.0,,0.0,0.0,,28.3,14.48,14.48,0.0,10.7,10.7,0.0,32.63,32.63,0.0,1,0,Kenneth Taylor,K. Taylor,2002-05-16,France v Netherland,2023-03-24
