0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.00207521,0.00345973,0.00311803,0.00378113,0.00419414,0.00591754,0.00760856,0.00899485,0.0124803,0.01711413,0.02426898,0.03251736,0.0430533,0.05201594,0.05955044,0.09636853
0.00218102,0.00252693,0.00318843,0.00376178,0.00464715,0.00602532,0.00881399,0.01069781,0.01485254,0.0187751,0.02588161,0.03492157,0.04690527,0.05832815,0.07382175,0.0787471
0.0024161,0.00291761,0.00326146,0.00394783,0.00532882,0.00656052,0.00879454,0.01160492,0.01541873,0.0199995,0.02728795,0.03789527,0.05195831,0.06123309,0.07337411,0.10512988
0.00251456,0.00303876,0.00346475,0.00394219,0.00518494,0.00676161,0.00947747,0.01237365,0.0165817,0.02169725,0.03016555,0.03990945,0.05164536,0.06222155,0.0758999,0.09773208
0.00293939,0.00315865,0.00374947,0.00443506,0.00551881,0.0069255,0.00952693,0.0124624,0.01649683,0.0225556,0.03035725,0.03972009,0.05195553,0.07379121,0.1077317,0.1119124
0.00488311,0.00352294,0.00420665,0.00446541,0.00527413,0.00716134,0.00925184,0.01212348,0.01561274,0.02230953,0.03004996,0.03934131,0.05165623,0.08026781,0.13767861,0.27787431
0.00501243,0.00354468,0.00398971,0.00457736,0.00557951,0.00685928,0.00944824,0.01234231,0.01559347,0.02209715,0.03175191,0.03777812,0.05032415,0.08080112,0.13963702,0.32677356
0.00271365,0.00351323,0.00358802,0.00460438,0.0055725,0.00704601,0.00946852,0.01281194,0.01625589,0.02180459,0.0303643,0.04008271,0.05071551,0.07127948,0.10886009,0.09910306
0.002747,0.00326723,0.00321472,0.00394078,0.00518837,0.00677845,0.00934397,0.01254736,0.01609349,0.0218866,0.02939742,0.03891527,0.05101257,0.06139223,0.08461349,0.09604886
0.00227598,0.0028146,0.00314995,0.00401125,0.00489969,0.00637129,0.00849704,0.01132233,0.01538411,0.0208521,0.0284742,0.03844447,0.05020951,0.0628613,0.07906929,0.09403194
0.00214147,0.00246831,0.00301589,0.00350011,0.00493307,0.0058068,0.0083582,0.01027309,0.01433316,0.01801128,0.02543995,0.03304706,0.0445887,0.05638315,0.06705503,0.07588389
0.00252185,0.00282332,0.00351529,0.0035638,0.00433255,0.00599197,0.0072857,0.01002957,0.01323617,0.01707733,0.02395721,0.03222869,0.04061649,0.0490338,0.05993062,0.10157423